product_id,family,sku,model,series_id,brand,manufacturer,availability,released_at,revised_at,primary_category_id,additional_category_ids,industry_ids,application_ids,measurement_kinds,name_en,name_zh,name_ru,name_es,short_name_en,short_name_zh,short_name_ru,short_name_es,summary_en,summary_zh,summary_ru,summary_es,highlights_en,highlights_zh,highlights_ru,highlights_es,applications_en,applications_zh,applications_ru,applications_es,certifications
prd_yf_p100,sensor,YF-P100,YF-P100,ser_yf_pressure,HEIYU Industrial,HEIYU Industrial,stock-model,2026-01-01,2026-07-07,cat_pressure_transmitters,,ind_water;ind_oem,app_pump_monitoring,pressure,YF-P100 Pressure Transmitter,YF-P100 Pressure Transmitter,,,YF-P100,YF-P100,,,Compact pressure transmitter for pump and hydraulic pressure monitoring,Compact pressure transmitter for pump and hydraulic pressure monitoring,,,0...10 bar range;4-20 mA output;IP67 housing,0...10 bar range;4-20 mA output;IP67 housing,,,Pump pressure monitoring;OEM hydraulic equipment,Pump pressure monitoring;OEM hydraulic equipment,,,ce;rohs
prd_yf_p300,sensor,YF-P300,YF-P300,ser_yf_pressure,HEIYU Industrial,HEIYU Industrial,standard-lead-time,2026-01-01,2026-07-07,cat_pressure_transmitters,,ind_process;ind_oem,app_hydraulic_monitoring,pressure,YF-P300 Smart Pressure Transmitter,YF-P300 Smart Pressure Transmitter,,,YF-P300,YF-P300,,,Smart pressure transmitter for process lines and hydraulic systems,Smart pressure transmitter for process lines and hydraulic systems,,,0...25 bar range;HART output;316L wetted parts,0...25 bar range;HART output;316L wetted parts,,,Process pressure monitoring;Hydraulic unit monitoring,Process pressure monitoring;Hydraulic unit monitoring,,,ce;rohs
prd_yf_dp200,sensor,YF-DP200,YF-DP200,ser_yf_dp,HEIYU Industrial,HEIYU Industrial,standard-lead-time,2026-01-01,2026-07-07,cat_differential_pressure_sensors,,ind_hvac;ind_water,app_filter_monitoring,differential-pressure,YF-DP200 Differential Pressure Sensor,YF-DP200 Differential Pressure Sensor,,,YF-DP200,YF-DP200,,,Differential pressure sensor for filter and pump differential monitoring,Differential pressure sensor for filter and pump differential monitoring,,,0...100 kPa range;4-20 mA output;IP65 housing,0...100 kPa range;4-20 mA output;IP65 housing,,,Filter monitoring;Pump differential monitoring,Filter monitoring;Pump differential monitoring,,,ce
prd_yf_l100,sensor,YF-L100,YF-L100,ser_yf_level,HEIYU Industrial,HEIYU Industrial,standard-lead-time,2026-01-01,2026-07-07,cat_level_sensors,,ind_water;ind_wastewater,app_tank_level,level,YF-L100 Submersible Level Sensor,YF-L100 Submersible Level Sensor,,,YF-L100,YF-L100,,,Submersible level sensor for tank and reservoir level measurement,Submersible level sensor for tank and reservoir level measurement,,,0...5 mH2O range;IP68 body;4-20 mA output,0...5 mH2O range;IP68 body;4-20 mA output,,,Tank level measurement;Reservoir monitoring,Tank level measurement;Reservoir monitoring,,,ce;rohs
prd_yf_t200,sensor,YF-T200,YF-T200,ser_yf_temperature,HEIYU Industrial,HEIYU Industrial,configurable,2026-01-01,2026-07-07,cat_temperature_sensors,,ind_process;ind_oem,app_process_temperature,temperature,YF-T200 Temperature Transmitter,YF-T200 Temperature Transmitter,,,YF-T200,YF-T200,,,Temperature transmitter for process equipment and OEM skids,Temperature transmitter for process equipment and OEM skids,,,-50...200 C range;Pt100 input;4-20 mA output,-50...200 C range;Pt100 input;4-20 mA output,,,Process temperature monitoring;OEM skid integration,Process temperature monitoring;OEM skid integration,,,ce;rohs
prd_yf_f300,sensor,YF-F300,YF-F300,ser_yf_flow,HEIYU Industrial,HEIYU Industrial,standard-lead-time,2026-01-01,2026-07-07,cat_flow_sensors,,ind_water;ind_process,app_flow_monitoring,flow,YF-F300 Industrial Flow Sensor,YF-F300 Industrial Flow Sensor,,,YF-F300,YF-F300,,,Flow sensor for water and process utility lines,Flow sensor for water and process utility lines,,,0...60 m3/h range;Pulse and 4-20 mA output;DN25 flange,0...60 m3/h range;Pulse and 4-20 mA output;DN25 flange,,,Water flow monitoring;Utility line metering,Water flow monitoring;Utility line metering,,,ce
prd_yf_ps50,sensor,YF-PS50,YF-PS50,ser_yf_switch,HEIYU Industrial,HEIYU Industrial,stock-model,2026-01-01,2026-07-07,cat_pressure_sensors,,ind_oem;ind_water,app_pressure_switching,pressure,YF-PS50 Pressure Switch,YF-PS50 Pressure Switch,,,YF-PS50,YF-PS50,,,Pressure switch for pump protection and compact control panels,Pressure switch for pump protection and compact control panels,,,0...6 bar range;SPDT relay;DIN43650 connector,0...6 bar range;SPDT relay;DIN43650 connector,,,Pump protection;Control panel switching,Pump protection;Control panel switching,,,ce
prd_yf_sv15,valve,YF-SV15,YF-SV15,ser_yf_solenoid,HEIYU Industrial,HEIYU Industrial,stock-model,2026-01-01,2026-07-07,cat_solenoid_valves,,ind_water;ind_oem,app_water_line,,YF-SV15 Solenoid Valve,YF-SV15 Solenoid Valve,,,YF-SV15,YF-SV15,,,Normally closed solenoid valve for water and compressed air lines,Normally closed solenoid valve for water and compressed air lines,,,PN16 pressure rating;DN15 body;normally closed,PN16 pressure rating;DN15 body;normally closed,,,Water line isolation;Compressed air service,Water line isolation;Compressed air service,,,ce
prd_yf_bv25,valve,YF-BV25,YF-BV25,ser_yf_ball,HEIYU Industrial,HEIYU Industrial,standard-lead-time,2026-01-01,2026-07-07,cat_ball_valves,,ind_water;ind_process,app_line_isolation,,YF-BV25 Ball Valve,YF-BV25 Ball Valve,,,YF-BV25,YF-BV25,,,Manual ball valve for process and utility line isolation,Manual ball valve for process and utility line isolation,,,PN25 pressure rating;DN25 size;316L body,PN25 pressure rating;DN25 size;316L body,,,Process line isolation;Utility water service,Process line isolation;Utility water service,,,ce
prd_yf_bfv80,valve,YF-BFV80,YF-BFV80,ser_yf_butterfly,HEIYU Industrial,HEIYU Industrial,made-to-order,2026-01-01,2026-07-07,cat_butterfly_valves,,ind_water;ind_process,app_flow_control,,YF-BFV80 Butterfly Valve,YF-BFV80 Butterfly Valve,,,YF-BFV80,YF-BFV80,,,Modulating butterfly valve for water and low pressure process service,Modulating butterfly valve for water and low pressure process service,,,PN16 pressure rating;DN80 wafer body;modulating mode,PN16 pressure rating;DN80 wafer body;modulating mode,,,Flow control;Water treatment lines,Flow control;Water treatment lines,,,ce
